arai-yuki	荒井優希（SKE48）のトーク	SKE48 TeamKIIの荒井優希です。	荒井優希
iino-miyabi	飯野雅(AKB48)のトーク	AKB48 高橋チーム4 19歳 飯野雅です！	飯野雅
pancho-official	ぱんちょトーク	ぱんちょのトークです	ぱんちょ
okita-ayaka	沖田彩華（NMB48）のトーク	沖田彩華（NMB48）のトークです	沖田彩華
yuasa-hiroshi	ゆあたん 湯浅洋	少しずつ	ゆあたん
VFc9zoTkRO9s	あいみるなぎっしゅー♡トーク	※しゅーが755やってません(´･_･`)	白間美瑠
0s8No2FY4KHj	イヤイヤヨトーク	まいちとやまりなfeat.めぐてぃんでイヤイヤヨゲームします	山尾梨奈 & 森田彩花 & 明石奈津子
NSkermLVwAax	しのの女子向けとーく(๑•ᴗ•๑)♡	岩花詩乃のトークです	岩花詩乃
sodasarina-kawamotosaya	♥︎さりさやトーク♥︎	惣田紗莉渚と川本紗矢のトークです♪	惣田紗莉渚 & 川本紗矢
dstYq0D78Y-j	勝手に	はるぴよ	二村春香本物 & 都築里佳(SKE48)
DfKoUeLUSeEU	ハム太郎♀の部屋	秋吉優花の家族！ハム太郎♀と申します	秋吉優花(あきよしゆか)
ueno-haruka	上野遥（HKT48）のトーク		上野遥
owada-nana	大和田南那（AKB48）のトーク	大和田南那（AKB48）のトークです	大和田南那
uchiyama-mikoto	内山命♡SKE48♡トーク	三重県出身 内山 命（SKE48）のトークです♡♡	内山命
kumazaki-haruka	熊崎晴香 (SKE48) のトーク	SKE48 熊崎晴香のトークです	SKE48熊崎晴香
mao-sae-miri	まおさえみりー(HKT48)	山本茉央.栗原紗英.山下エミリー	山本茉央（HKT48） & HKT48栗原紗英
kitahara-rie	北原里英（NGT48）のトーク	北原里英のトークです	北原里英
yabuki-nako	矢吹奈子(HKT48/AKB48)のトーク	矢吹奈子(HKT48/AKB48)のトークです	矢吹奈子(HKT48/AKB48)
miyazaki-miho	宮崎美穂(AKB48)	AKB48 みゃおこと宮崎美穂のトークです。	宮崎美穂
akb48-14ki	AKB48 14期♡	14期万歳！	小嶋真子 & 西野未姫 & 岡田奈々
kadowaki-kanako	門脇佳奈子（NMB48）のトーク	門脇佳奈子（NMB48）のトークです	門脇佳奈子
PBzl5jmOJlqg	SKE48トーク♡	SKE48研究生青木詩織/井田玲音名/鎌田菜月/竹内彩姫/松村香織/山田樹奈	竹内彩姫 & カレーbot鎌田★60万ウォッチで返信祭 & おしりん & 松村香織 & 井田玲音名 & 山田樹奈
t4WWsq7ibYCO	小畑優奈（SKE48）のトーク	☆ゆなな☆    SKE48チームKⅡの小畑優奈です！	小畑優奈
wBSYBE8dgovd	『AKB49～恋愛禁止条例～』の公式トーク	9月11日～16日 宮澤佐江/小嶋真子/大和田南那/須田亜香里/梅田綾乃/大島涼花/岡田奈々/川本紗矢/内山命/谷真理佳/山下ゆかり/坂口理子/飯野雅/谷口めぐ/松村香織/森田彩花/山尾梨奈	内山命 & 山尾梨奈 & 森田彩花 & 谷真理佳（SKE48） & 須田亜香里 & 谷口めぐ & 松村香織 & 小嶋真子 & 坂口理子 & 飯野雅
tanaka-miku	田中美久（HKT48）のトーク	HKT48の田中美久です！                           宜しくお願いします♡                          みくりんもん(￣(工)￣)	田中美久
