kojima-natsuki	小嶋菜月（AKB48）のトーク	なっつんこと、小嶋菜月です！	小嶋菜月
murayamayuiri-okadaayaka	りんごとあやかのトーク	AKB48村山彩希と岡田彩花のトーク！	岡田彩花
sakamoto-erena	坂本愛玲菜（HKT48）のトーク	楽しくトークしましょ☺️	坂本愛玲菜
F3FaKF_cr1cj	〜ゆななのハンドメイドhouse〜	小畑優奈｢おばたゆな｣のハンドメイドtalkです☆	小畑優奈
akb48-team8-kansai	AKB48 チーム８ 関西エリアのトーク	永野芹佳、太田奈緒、山田菜々美、山本瑠香、大西桃香、濱咲友菜のトークです。	AKB48チーム８関西エリア & サルオバサン
akb48-7ki	👭ななき👭	7期生のグループ作ってみました(Pq`vﾟ●)グループ名募集してます。	佐藤すみれ & 鈴木まりや & 前田亜美♡ & 岩佐美咲
miyawaki-sakura	宮脇咲良（HKT48/AKB48）のトーク	宮脇咲良のトーク	宮脇咲良
Xb8Ipx-3WeY3	NMB48 チームM	チームM	久代梨奈（りなっち） & 藤江れいな & NMB48teamN東由樹(20) & 三田麻央(本物) & 谷川愛梨 & 松村芽久未 & 矢倉楓子 & 村瀬紗英 & 沖田彩華 & 白間美瑠 & 武井紗良 & 川上礼奈
egoyuna-ichinonarumi	えごなるのトーク♡	SKE48 江籠裕奈と市野成美のトークです！	江籠裕奈(SKE48) & 市野成美
ske48-2ki	since2015.8.24,5～❤	SKE48 ２期生 ノリで生きてます☺	内山命 & 加藤るみ & 斉藤真木子
eFrtzssD0Yx_	アメスタ新番組「さえのへや」連動SPトーク	宮澤佐江(SNH48/SKE48)によるアメスタ新冠番組です！番組内のゲストとのトークテーマ・質問を大募集致します！ 採用されたものはリアルタイムで番組内で取り上げられます！！	アメスタスタッフ
akimoto-yasushi	秋元康のトーク	秋元康のトークです	秋元康
kawamoto-saya	川本紗矢(AKB48 さやや)のトーク	一緒にお話しましょう♪	川本紗矢
akb48-10ki	10期生のトーク	AKB48 10期生のトークです！	市川美織（NMB48） & 加藤玲奈 & 藤田奈那 & 伊豆田莉奈
akashi-natsuko	明石奈津子(なっつ)（NMB48）のトーク	Twitterやってます♡@nattu817 気軽にお話ししましょう！	明石奈津子
kamieda-emika	上枝恵美加（NMB48）のトーク	上枝恵美加（NMB48）のトークです	上枝恵美加
iso-kanae	磯佳奈江(NMB48)のトーク	いそかなのトークです	磯ちゃん
TxRrxJ6jz6Ne	かよあえさやまきりお	仲良し5人のトークです(♡´ ³`) 覗いてね(*бωб)	横島亜衿 & 田北香世子 & 大川莉央 & 川本紗矢
kato-yuuka	加藤夕夏  (うーか)（NMB48）のトーク	加藤夕夏  (うーか)（NMB48）のトークです	加藤夕夏
shimada-haruka	島田晴香（AKB48）のトーク	島田晴香のトークです	島田晴香
maedaami-yukainanakama	前田亜美と愉快な仲間たち🐬🎀👑👗💘😋💙❤️🐥🌺	前田亜美と愉快な仲間たち集合ーー！！ただいま大募集中！！！！♡笑	藤田奈那 & 前田亜美♡ & もぎ(AKB48)
okawario-mogishinobu	もぎりおのトーク	もぎりおのトークです＼(^o^)／♡	もぎ(AKB48) & 大川莉央
inoue-sayuri	井上小百合(乃木坂46)	すき：植物、庭園、温泉、旅、お芝居、戦隊、テナサク、友達、家族、わたしに笑顔をくれるみんなのこと。                                   苦手：速く動くこと。	井上小百合(乃木坂46)
3sYsw3cQmxra	中野と城の会話	二人で話す	中野麗来 & 城恵理子
saito-makiko	斉藤真木子（SKE48）のトーク	SKE48チームE斉藤真木子です！	斉藤真木子
tani-marika	谷真理佳（SKE48）トーク		谷真理佳（SKE48）
ske48-7ki-talk02	SKE48 7期生のトーク②	末永桜花、杉山愛佳、髙畑結希、野島樺乃、町音葉、村井純奈、和田愛菜のトークです	SKE487期生 & SKE487期生
ske48-7ki-talk01	SKE48 7期生のトーク①	相川暖花、浅井裕華、太田彩夏、小畑優奈、片岡成美、川崎成美、後藤楽々のトークです	SKE487期生 & SKE487期生
yokoshima-aeri	横島亜衿（AKB48）のトーク	あえりんです	横島亜衿
kurihara-sae	栗原紗英(HKT48)	さえのトークです♡	HKT48栗原紗英
nishizawa-rurina	西澤瑠莉奈(NMB48)のトーク	西澤瑠莉奈（NMB48）のトークです	西澤瑠莉奈
yamauchi-suzuran	山内鈴蘭（SKE48）のトーク	Twitter@suzuranchan1208	山内鈴蘭
ybc15A2vHoJT	AKB48グループ新聞横山慧のトーク	AKB48グループ新聞、日刊スポーツ芸能担当記者横山慧のトークです	AKB48グループ新聞横山慧
odan-mai	大段 舞依（NMB48）のトーク	大段 舞依（NMB48）のトークです	大段舞依
hidakayuduki-kumazakiharuka	初心者二人がお送りするアプリ755	滑舌が悪いかみかみコンビです！ 滑舌よく話していきます！ よろしくお願いします！	SKE48　日高優月 & SKE48熊崎晴香
akimoto-manatsu	秋元真夏(乃木坂46)	ズッキュン/真夏の気圧配置/真夏さんリスペクト軍団	秋元真夏(乃木坂46)
matsumura-sayuri	松村沙友理（乃木坂46）	乃木坂46松村沙友理です。	松村沙友理（乃木坂46）
8MzNeLxhqm1x	なぁめぐトーク	なぁめぐのトーク。	谷口めぐ & 岡田奈々
EULh9u3FbcVv	林萌々香のトーク	林萌々香のトークです	林萌々香（NMB48）
2WAs10ZZVJ2g	日刊スポーツ芸能記者Ｏ友のトーク	AKB48Gなど音楽を中心に担当する日刊スポーツ芸能記者Ｏ友のトーク。月刊AKB48ｸﾞﾙｰﾌﾟ新聞編集部→https://7gogo.jp/gekkan-akb-shinbun ※個人の発言です※	AKB48ｸﾞﾙｰﾌﾟ新聞大友陽平 & AKB48ｸﾞﾙｰﾌﾟ新聞瀬津真也
akb48-team8-hokkaido-tohoku	AKB48 チーム８ 北海道･東北エリアのトーク	横山結衣、坂口渚沙、谷川聖、佐藤七海、早坂つむぎ、佐藤朱、舞木香純のトークです。	サルオバサン & AKB48チーム８北海道・東北エリア
azu-sara-rinacchi	あずさらりなっち	チームMの高校2年生組！植村梓・武井紗良・久代梨奈のトークです	久代梨奈（りなっち） & 植村梓 & 武井紗良
umemotomadoka-inudukaasana	うめちゃわん	犬塚あさなと梅本まどかのトークです♡	梅本まどか & 犬塚あさな
6TGRp1ByS9Ai	すぎちぇる♡おーちぇる	なんだかんだ仲良しなんです♡ みなさん知ってましたか？	杉山愛佳(SKE48)
iwahana-shino	岩花詩乃（HKT48）のトーク	HKT48TeamKIVの岩花詩乃です	岩花詩乃
hokazono-haduki	外薗葉月(HKT48)のトーク( ¨̮ )	外薗葉月(HKT48)のトークです( ¨̮ )	外薗葉月
shinozaki-ayana	篠崎彩奈（AKB48）のトーク	あやなのトークです	篠崎彩奈
okamoto-naoko	岡本尚子（HKT48）のトーク	なおぽんのトークです	岡本尚子
koganarumi-katoyuka	なるぅーか	NMB48 チームN。古賀成美と加藤夕夏。	加藤夕夏
98ENO8Dz3Y7u	えれみるんのトーク(HKT48)	荒巻美咲と坂本愛玲菜のトークです☺️えれみるんだけにしか聞けないような質問をまってます^_^！	荒巻美咲(HKT48)🦋 & 坂本愛玲菜
kumazawaserina-okamotonaoko	せりぽん\( ˙▿︎˙ )/	HKT48の熊沢世莉奈と岡本尚子のトークι(｀･-･´)/	せりーぬ & 岡本尚子
tano-yuka	田野優花（AKB48）のトーク	田野優花のトークです	田野優花
kojimanatsuki-natoriwakana	わかなっつん💓	絶滅危機11期トーク。(小嶋菜月・名取稚菜)	小嶋菜月
yamamoto-mao	山本茉央（HKT48）のトーク	山本茉央（HKT48）のトークうぇるかむ!	山本茉央（HKT48）
takajo-aki	高城亜樹(あきちゃ)のトーク	AKB48高城亜樹(あきちゃ)のトークです！！	高城亜樹(あきちゃ)
kawakami-rena	川上礼奈（NMB48）のトーク	れなぴょんのトークです(^_^)♡	川上礼奈
sasaki-yukari	佐々木優佳里(AKB48)トーク		優佳里
takeuchi-mai	竹内舞 (SKE48) 755	SKE48/竹内舞/美少女戦士/舞P/まいまいピンク	竹内舞
yamazaki-rena	山崎 怜奈 (乃木坂46)	やまざきれな/雑誌MARQUEE連載/日本史/中国語	山崎怜奈（乃木坂46）
watanabemayu-kobayashimarina	ヅカ部	まゆなってるの仲良しトークです	渡辺麻友(AKB48)
yamada-juna	山田樹奈 (SKE48)	SKE48 チームSの山田樹奈です。	山田樹奈
katorena-tanakanatsumi	れなみかん♥	秘密兵器。 加藤玲奈と田中菜津美のトーク	田中菜津美
futamura-haruka	はるたむ（SKE48 二村春香）	気ままに更新♡Twitter@harutamchan	二村春香本物
saru-obasan	サルオバサンのトーク	サルオバサンのトークです	サルオバサン
akb48-draft-1ki	AKB48Gドラフト一期生	ドラフト生大集合ー！	内木志(ここちゃん) & 山本茉央（HKT48） & 松本慈子 & 荒井優希 & 下口ひなな & 横島亜衿 & 髙塚夏生 & 福士奈央＊どんちゃん（SKE48） & さーなん。 & 後藤萌咲 & 田北香世子 & 小石公美子！くみくみワールドへようこそ！ & 武井紗良 & 須藤凜々花 & 惣田紗莉渚 & 川本紗矢 & 磯ちゃん
tashima-meru	田島芽瑠(HKT48)のトーク	たしまめるのトークです	田島芽瑠
omori-miyuu	大森美優（AKB48）のトーク	始めました！！！	大森美優
komiyama-haruka	込山榛香(AKB48)トーク	こみはるです(๑•ω•๑)/"♡	込山榛香
inoue-yuriya	井上由莉耶（HKT48）のトーク	井上由莉耶（HKT48）のトークです	井上由莉耶
agzgX1yiN-0h	WIZの人々。	3月7日から初日を迎えるオズの魔法使い！の、メンバーでトークします^ ^！	田野優花 & 梅田彩佳
kawamotosaya-taniguchimegu	さやめぐトーク♪	川本紗矢と谷口めぐです！！	谷口めぐ & 川本紗矢
ichino-narumi	市野成美（SKE48）のトーク	おはなるちゃんヽ(´ー｀)ノなるちゃんより	市野成美
tKGflAgtLwzj	ましこむ		宇井真白 & 深川舞子（HKT48）
GssWecUf151h	お試しトーク	お試しトーク	渡辺みり愛(乃木坂46)
BF1-W-7hNCi3	りんごといるか	SKE48teamK2水野愛理とteamK2の髙塚夏生のと	髙塚夏生
marinatteru-yukainadeshi	まりなってると愉快な弟子たち	※このトークは5人です	岩立沙穂 & 篠崎彩奈 & もぎ(AKB48)
dekkai-oborodofu	いもむchu!		駒田京伽 & 坂口理子 & 冨吉明日香
ishida-anna	石田安奈　SKE48のトーク	石田安奈　SKE48のトークです	石田安奈　SKE48
watanabe-miria	渡辺みり愛 (乃木坂46)	マイペース	渡辺みり愛(乃木坂46)
hori-miona	堀 未央奈 (乃木坂46)	「ar」レギュラーモデル将来の夢は女優です。ジブリが好きです。ものすごくマイペースで人見知り	堀未央奈(乃木坂46)
tanaka-natsumi	田中菜津美（HKT48/SKE48）のトーク	田中菜津美（HKT48/SKE48）のトークです	田中菜津美
hidaka-yuduki	SKE48　日高優月のトーク	SKE48　日高優月のトークです	SKE48　日高優月
motomura-aoi	本村碧唯(HKT48)のトーク	ゆっくりやっていきます♡	本村碧唯(HKT48)
kumazawa-serina	熊沢世莉奈(HKT48)のトーク	HKT48熊沢世莉奈のトークです	せりーぬ
jU4f-D6lnM2C	岐阜メンのトーク	「SKE48の岐阜県だって地元ですっ！」 毎週水曜日 午後6時15分からぎふチャンで放送中です。  SKEの岐阜県出身の私たち3人で 岐阜県の魅力を沢山伝えているので 是非、観てくださいね♪	北野瑠華
nakada-kana	中田花奈(乃木坂46)	上から読んでも下から読んでもなかだかな	中田花奈
mukaichi-mion	向井地美音（AKB48）のトーク	たまに出没します( ˙³˙)	向井地美音
9x2jk5zG36id	もぎたてのビジネストーク☆		岩立沙穂 & もぎ(AKB48)
kojina-yui	神志那結衣（HKT48）のトーク	今日からあなたは、じーな推し	神志那結衣
satosumire-iwatakaren	すーいわのトーク	岩田華怜とSKE48佐藤すみれが気の向いた時に、気の向いた話をするトークです。皆さんも気が向いたら遊びに来てください(*´ェ｀*)	佐藤すみれ
kayano-shinobu	しのぶのトーク	しのぶのトークです。	しのぶ
sakurai-reika	Sakurai Reika		SakuraiReika
kitagawa-ryoha	北川綾巴（SKE48）のトーク	北川綾巴 きたがわ りょうは（SKE48）のトークです	北川綾巴
kawakami-chihiro	川上千尋（NMB48）のトーク	川上千尋（NMB48）のトークです	川上千尋（NMB48）
takei-sara	武井紗良（さららん)（NMB48）のトーク	武井紗良（さららん)（NMB48）のトークです	武井紗良
kishino-rika	岸野里香 (NMB48)	気持ち肩幅広いです	岸野里香(NMB48)
EzakMQfbw3yy	まいこむの ラビリンス対策部屋	栄光のラビリンスのイベントの時に このトークを使います！	深川舞子（HKT48）
uchiyama-natsuki	♥︎♡内山奈月のハッピートーク♡♥︎	なっきー(・ε・｀*)♡こと内山奈月のトークです！！	内山奈月
nmb48-draft-1ki	難波ドラフト一期生🐆	NMB48ドラフト生のトークです！⚽️✔︎	内木志(ここちゃん) & 武井紗良 & 須藤凜々花 & 磯ちゃん
nakano-reina	中野麗来（NMB48）のトーク	中野麗来（NMB48）のトークです。 ポチっとな。	中野麗来
suda-akari	須田亜香里（SKE48）のトーク	須田亜香里（SKE48）のトークです	須田亜香里
shirai-kotono	白井琴望(SKE48)のトーク💕	こっちゃんことteamk2ドラフト2期生14歳の白井琴望です	白井琴望(SKE48teamk2)
akb48-13ki	AKB48 13期生のトーク	AKB48 13期生！相笠萌 岩立沙穂 梅田綾乃 大島涼花岡田彩花 北澤早紀 篠崎彩奈 高島祐利奈茂木忍 村山彩希	岩立沙穂 & さっきー & 篠崎彩奈 & もぎ(AKB48) & 岡田彩花
takayanagi-akane	高柳明音トークと時々、大喜利(SKE48)	トーク、大喜利、時々歌い出しますo(｀^´*)♥	アメスタスタッフ & 高柳明音
GjWEbvlyUWDP	もえあゆトーク	後藤萌咲と山邊歩夢のまったりゆったりトークです！	後藤萌咲
ichigochans-official	いちごちゃんずのトーク🍓	AKB48 15期生のトークです総合ランキング15位を目指して、毎日21:15〜いちごちゃんずタイムをしています！	湯本亜美(AKB48) & 福岡聖菜 & 市川愛美 & 向井地美音 & 谷口めぐ & 込山榛香 & 大川莉央 & 大和田南那 & 飯野雅
_riMdQOaQoB9	相談室	重い話題に答える	川後P@ラジオが好き
inomiyabi-taniguchimegu	みやめぐおっとりトーク♪	みやめぐのトークです♡	谷口めぐ & 飯野雅
3Jyr4G1n7Ikq	菅原茉椰(SKE48)のトーク	本物の菅原茉椰(SKE48)のトークですよ	菅原茉椰(SKE48)
9Kg2p8Npo4kV	上西恵のトーク	2015.9.3 new talk page      上西恵 jonishikei	上西恵
fujie-reina	藤江れいな（NMB48）のトーク	藤江れいな（NMB48）のトークです。	藤江れいな
taniguchi-megu	谷口めぐ（AKB48）のトーク	谷口めぐのトークです。	谷口めぐ
kimoto-kanon	木本花音 （SKE48）	のんです、よろしくお願いします。	のん
ishidaharuka-fujiereina	夫婦talk👫♡	AKB48 石田晴香(旦那)とNMB48 藤江れいな(嫁)のtalkです(灬ºωº灬)♩	藤江れいな
hoshino-minami	星野みなみ♡乃木坂46のトーク	17歳♡	星野みなみ乃木坂46
gekkan-akb-shinbun	月刊AKB48ｸﾞﾙｰﾌﾟ新聞編集部【6月号は16日〜発売！】	【6月号は16日〜発売！】月刊AKB48ｸﾞﾙｰﾌﾟ新聞編集部のトークです 【毎月第3金曜発行】※当トークでの各記者の発言は、日刊スポーツの見解・意見を代弁するものではございません※	AKB48グループ新聞瀬津真也 & AKB48グループ新聞横山慧 & AKB48ｸﾞﾙｰﾌﾟ新聞大友陽平 & AKB48ｸﾞﾙｰﾌﾟ新聞瀬津真也
cGxOmvEJ5gb9	しげめーる  感想用	しげめーるとってる方遊びに来てね♥️	村重杏奈
inuzuka-asana	犬塚あさな(わんちゃん☆SKE48）のトーク	犬塚あさな（わんちゃん☆SKE48）のトークです	犬塚あさな
sakaguchi-riko	坂口理子（HKT48）のトーク	坂口理子（HKT48）のトークです	坂口理子
umeda-ayaka	梅田彩佳（NMB48）のトーク	梅田彩佳（NMB48）のトークです	梅田彩佳
Tou2owXbEtPs	Reply・Impressions💞	さくめーる返信/SPA!コラム感想用アカウント   メインアカウントはこちらhttps://7gogo.jp/miyawaki-sakura	宮脇咲良
kashiwagi-yuki	柏木由紀（AKB48/NGT48）のトーク	柏木由紀（AKB48/NGT48）のトークです	柏木由紀
yamada-marina	山田麻莉奈（HKT48）のトーク	まりりのトークです	山田麻莉奈🐰💕
NS3frmzx-32X	🍭おかぱーず🍭のトーク	AKB48 非公式ユニット「おかぱーず」です！	藤田奈那 & 前田亜美♡ & 古畑奈和 & 武藤十夢
akb48-team8-chugoku-shikoku	AKB48 チーム８ 中国四国エリアのトーク	下尾みう、濱松里緒菜、行天優莉奈、高岡薫、廣瀬なつき、谷優里、中野郁海、人見古都音、阿部芽唯のトークです。	AKB48チーム８中国四国エリア & サルオバサン
akb48-team8-kanto	AKB48 チーム８ 関東エリアのトーク	岡部麟、本田仁美、清水麻璃亜、髙橋彩音、吉川七瀬、小栗有以、小田えりな、佐藤栞、左伴彩佳のトークです。	AKB48チーム８関東エリア & サルオバサン
hidakayuduki-takeuchisaki	SKE48♡YuzukiとSakiの勝利の方程式	一緒に野球の話しましょ( ´ ▽ ` )ﾉ♡	SKE48　日高優月 & 竹内彩姫
tsuzuki-rika	都築里佳（SKE48）のトーク	SKE48 チームS 都築里佳のトークです／ネット弁慶と会話の8割がアニメや声優さんの話なのは暗黙の了解／たまにぴよかめら載せるよ／二次元同好会 5代目会長	都築里佳(SKE48)
ogasawaramayu-gotomoe	ゴマユ(AKB48)のトーク	小笠原茉由＆後藤萌咲のトークですっ！ 覗いてみてください(^^)	小笠原茉由 & 後藤萌咲
shimoguchi-hinana	下口ひなな（AKB48）のトーク	AKB48峯岸teamKメンバーの動画、オフショットうpしてますウォッチしてくれるかな？	下口ひなな
kawago-hina	川後陽菜(乃木坂46)	大森靖子ちゃんと縷縷夢兎(るるむう)がだいすきそんな神様みたいに何か作りたい残したい	川後P@ラジオが好き
eto-misa	衛藤美彩(乃木坂46)のトーク	乃木坂では、みさ先輩と呼ばれています(*^o^*)	衛藤美彩
2KMTBFHOe47v	塩アイス	乃木坂46 2期生 堀未央奈 伊藤純奈 北野日奈子の非公式グループ塩アイスです	伊藤純奈(乃木坂46) & 堀未央奈(乃木坂46) & 北野日奈子
morita-ayaka	森田  彩花（NMB48）のトーク	NMB48 チームm森田彩花です喋ろ〜誰でもカモーン！フレンドリーなり♡♡	山尾梨奈 & 森田彩花 & 城恵理子
fukagawa-maiko	深川舞子（HKT48）のトーク	まいこむ（ＨＫＴ48）のトークです	深川舞子（HKT48）
umeda-ayaka-fan	ウメトーーーーク。	ここはNMB48うめ推しのかたのお部屋だお。	梅田彩佳
uGsrOKcVrnQW	ライアン小川(犬)♂のお部屋🐶	飼い主がHKT48チームHの坂口理子だけど質問ある？	坂口理子
nakanishi-chiyori	ちより（AKB48）のトーク	ちより（AKB48）のトークです	中西智代梨
goto-moe	後藤萌咲（AKB48）トーク	沢山お喋りしましょう！	後藤萌咲
sugiyama-aika	杉山愛佳(SKE48 teamS)のトーク	SKE48 teamS 15歳の杉山愛佳です	杉山愛佳(SKE48)
tanigawa-airi	NMB48 谷川愛梨のトーク		谷川愛梨
naiki-kokoro	内木志(ないきこころ)のトーク	ツイッター@naiki_cocoro   Instagram→ cocoro_naiki フォローお願いします(^^)	内木志(ここちゃん)
kusaka-konomi	日下このみ（NMB48）のトーク	日下このみ（NMB48）のトークです	日下このみ
yokoshimaaeri-okawario	あえりおりんトーク	横島亜衿と大川莉央のトークです( ´-` ).｡oO ( ♡︎ )	横島亜衿
saito-asuka	齋藤飛鳥のトーク	齋藤飛鳥のトークです	齋藤飛鳥
eyzJeAyg-TgK	みたらし団子😌💕	7D2の仲良し中3組のトークです	白井琴望(SKE48teamk2)
-H7wWZEAERZq	ぽんぽんラジオルーム	HKT48 teamHのなおぽんこと岡本尚子です！このトークは、私がぐぐたすで行っているぐぐたす動画企画『ぽんぽんラジオ』のURLを貼っております✨コメントやリクエストなど是非覗いていってね✩︎⡱	岡本尚子
maeda-ami	前田亜美のtalk♡（AKB48）	まゆげがチャームポイントフォローしてね♡                               NHK＊Rの法則＊レギュラー出演‼︎毎週.月〜木Eテレ18:55〜（金曜再放送)見てね❤️	前田亜美♡
takeuchi-saki	竹内彩姫(SKE48)のトーク	SKE48 teamK2 竹内彩姫のトーク	竹内彩姫
2Kj_k8aAK0W1	"ザ・ベストエレテン"のへや（HKT48／坂本愛玲菜）	坂本愛玲菜のアカペラ動画企画『ザ・ベストエレテン』専用トークです"1人アカペラ動画"や、自分で作詞作曲した曲など✨毎日がんばるあなたを応援するお部屋です気軽にfollow me!	坂本愛玲菜
kitano-ruka	きたのるか（SKE48）のトーク	きたのるかのトークです	北野瑠華
jgJg_pu6lHnX	AKB48グループ新聞瀬津真也のトーク	AKB48グループ新聞瀬津真也のトークです	AKB48グループ新聞瀬津真也
fujierena-yamadanana	れいななトーク💓	山田菜々と藤江れいなのトークです	藤江れいな
