odan-mai	12	0	883	大段舞依	1R8_btqFzpFN
ogasawara-mayu	41	13	2722	小笠原茉由	u4KzcCWt1zHO
okada-ayaka	152	8	10973	岡田彩花	KdJbirL6GXl7
okada-kanna	162	2	4599	岡田栞奈	MJ08JthPDXwp
okada-nana	896	59	12328	岡田奈々	HUYW5d14blQc
okamoto-naoko	267	17	15242	岡本尚子	rUo8y8aZ4GZE
okita-ayaka	2	0	107	沖田彩華	VEK7IBxUDhdM
omori-miyuu	79	4	5186	大森美優	fN0dvp5BzUOS
ookawa-rio	240	7	40839	大川莉央	Z3PePSBjdTF9
ooshima-ryoka	346	5	6880	大島涼花	UyfDeWqVAMQo
oota-aika	141	8	7786	多田愛佳	HtxwIFv2ib_V
oota-yuuri	133	0	4202	太田夢莉	ITROmQvd56JS
ooya-shizuka	10	0	567	大家志津香	8VdEumBK1Fxv
oshima-yuko	0	0	0	大島優子
owada-nana	88	1	2694	大和田南那	qR-ewDl8s8jd
oya-masana	0	0	0	大矢真那	CtfxdOm2Rb6b
pancho-official	115	0	999	荒井広希(AKB48 Mobile プロデューサー)	iFjOB3Yqczer
saito-chiharu	48	11	1324	斎藤ちはる(Nogizaka46)
saito-makiko	1716	61	27029	斉藤真木子	LcrsE21gDLww
sakaguchi-riko	736	174	13085	坂口理子	IXnAlaS9ard5
sakai-mei	563	54	15029	酒井萌衣	bY1W9c1SYhIj
sakamoto-erena	523	88	8158	坂本愛玲菜	MdbjK7myszMG
sakurai-reika	16	0	301	桜井玲香(Nogizaka46)
sasaki-yukari	850	21	29420	佐々木優佳里	uxrj7cEwh5fU
sashihara-rino	4	0	381	指原莉乃	usHi9Xb0qJus
sato-kiara	223	2	9832	佐藤妃星	UOpuKu_VNH8O
sato-sumire	33	0	1535	佐藤すみれ	SCD95dd0MmkE
shibuya-nagisa	11	0	308	渋谷凪咲	aLosRb_G02Lp
shimada-haruka	32	0	717	島田晴香	MXD7K7oDp55k
shimoguchi-hinana	778	10	20720	下口ひなな	yT5fIa33nYiY
shimono-yuki	178	4	9108	下野由貴	cdgN9H6WHDQM
shinozaki-ayana	139	22	2785	篠崎彩奈	QHQ2b_eYBILo
shinuchi-mai	83	4	3522	新内眞衣(Nogizaka46)
shiraishi-mai	33	0	415	白石麻衣(Nogizaka46)
shiroma-miru	7	0	464	白間美瑠	5nTQ432x1a_L
ske48-7ki-talk01	537	11	2207	SKE487期生(相川暖花、浅井裕華、太田彩夏、片岡成美、川崎成美)	oHvpW4Gvit44
ske48-7ki-talk02	616	28	2689	SKE487期生(末永桜花、髙畑結希、町音葉、村井純奈、和田愛菜)	3zeNETHcVdnS
soda-sarina	97	0	3104	惣田紗莉渚	bj-bPdEfWprD
suda-akari	25	1	380	須田亜香里	T5qBRtGvGaG4
suto-ririka	103	0	6109	須藤凜々花	MBhdlPlDYPtj
suzuki-mariya	28	0	809	鈴木まりや	SUtZ42ft2F8W
t4WWsq7ibYCO	168	23	6552	小畑優奈	t4WWsq7ibYCO
takagi-yumana	128	12	2644	高木由麻奈	1MO9_cItqCRf
takahashi-minami	1312	24	24642	高橋みなみ	Yf5WmPMFnZ0S
takahashi-zyuri	395	5	3460	高橋朱里	tLReicD71yfy
takajo-aki	30	0	483	高城亜樹	bJDKEbBdVN3Y
takatera-sana	185	14	3391	高寺沙菜	e7XJz21W-LjX
takatsuka-natsuki	632	13	7802	高塚夏生	6ymR_y0sWZEL
takayama-kazumi	52	13	747	高山一実(Nogizaka46)
takayanagi-akane	285	0	4186	高柳明音	eJZQjxkL-lrr
takei-sara	47	0	11358	武井紗良	aB_2vSic_kqT
takeuchi-mai	368	25	3577	竹内舞	RW3ToIFmvQoI
takeuchi-saki	298	12	10431	竹内彩姫	XA8m13xYhCOJ
takita-kayoko	918	58	30118	田北香世子	1-e9LZEPbVOA
tanaka-miku	316	50	10790	田中美久	a2o8xl7RkLBF
tanaka-natsumi	441	11	16894	田中菜津美	P6DY6a0J3Ds0
tanaka-yuka	199	4	5667	田中優香	_2NvtY8k7yQU
tani-marika	399	8	7580	谷真理佳	uOQaDiR3Il1N
tanigawa-airi	14	2	3136	谷川愛梨	W49tWGGkg6yG
taniguchi-megu	132	7	7377	谷口めぐ	Jw39HndYuvtV
tano-yuka	218	15	3839	田野優花	LkDnxmRqTs4-
tashima-meru	1256	204	16000	田島芽瑠	0mfNdHyZTw6w
tatsuya-makiho	356	9	21804	達家真姫宝	eWOuzCYVV8sH
tomiyoshi-asuka	569	35	2559	冨吉明日香	_tw04tggjQOb
tomonaga-mio	707	4	13920	朝長美桜	lCcshjlg13E6
tsutsui-riko	55	13	4960	筒井莉子	Ym65NWz2QiM1
tsuzuki-rika	665	20	9992	都築里佳	g6DHxyVrexTC
uchiyama-mikoto	250	5	3573	内山命	T2T79Ajj5sFD
uchiyama-natsuki	14	0	650	内山奈月	vxKSt5G1ChOW
ueda-mirei	66	1	6788	植田碧麗	ITJ1LRcNeWnS
ueki-nao	430	52	6771	植木南央	w7oWgL9O-cXW
uemura-azusa	13	5	3051	植村梓	7Ue18WvhNb1I
ueno-haruka	458	3	99836	上野遥	N54Z9YIBA-ix
ui-mashiro	675	42	7006	宇井真白	tC868EVx0WJE
umeda-ayaka	74	0	3317	梅田彩佳	w-Jgds5boj7v
umemoto-madoka	31	0	465	梅本まどか	yIsSa7dZBq_E
umeta-ayano	160	8	7266	梅田綾乃	p2GGs96uX5XZ
uno-mizuki	0	0	0	鵜野みずき	ez8SnnpA8Jaf
wada-maaya	52	8	2130	和田まあや(Nogizaka46)
wakatabe-haruka	295	2	5167	若田部遥	4NK7lBqfEpE2
watanabe-mayu	2	0	742	渡辺麻友	dW1h23-9Eyp-
watanabe-miria	245	29	13027	渡辺みり愛(Nogizaka46)
yabuki-nako	3	0	489	矢吹奈子	gi3GS5tXc2hT
yabushita-syu	135	170	3327	薮下柊	alF88_L40HhU
yagura-fuuko	41	0	1318	矢倉楓子	1aBFDBLvrXwh
yakata-miki	564	31	9988	矢方美紀	pXDTsJzwHZV1
yamada-juna	216	7	9161	山田樹奈	7N5KSeaFEX3Z
yamada-marina	15	1	1485	山田麻莉奈	eqB-MvrHI_MM
yamamoto-mao	382	76	8176	山本茉央	SDUqI2g3atCP
yamamoto-sayaka	67	4	1490	山本彩	9M27EUWOGN25
yamao-rina	59	2	13347	山尾梨奈	ggpZJhJbVIhG
yamashita-yukari	496	0	1945	山下ゆかり	IiYO9XkrXm-J
yamauchi-suzuran	117	1	4418	山内鈴蘭	7LiMa5Rr4I1m
yamauchi-yuna	43	10	1714	山内祐奈	90z_ktcU3Dhg
yamazaki-rena	228	81	14323	山崎怜奈(Nogizaka46)
yokoshima-aeri	314	15	21490	横島亜衿	BoB12o815QYV
yokoyama-yui	29	0	2336	横山由依	XbiyVz1zBcYg
yoshida-akari	24	0	2798	吉田朱里	JF-JBpSCVt1f
yuasa-hiroshi	5606	2	48033	湯浅洋	u_h4BzztIo1-
yumoto-ami	204	17	19693	湯本亜美	fTNBYk8SEVRz
